16,88,3,24,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ,,,2018-Cold,2016-Warm,1997-Warm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Pop ,MsSh18,,MsSh20,,AAC20,,AAT20,,RBG27,,RBG29,,K16,,AAT27,,LZ2,,RBG18,,K6,,Calbo1,,Calbo2,,Calbo5,,Calbo35,,Calbo40,
NS1,2018-Cold,227,227,0,0,0,0,194,194,194,194,134,134,123,129,249,249,270,270,172,192,129,129,0,0,0,0,152,157,187,196,0,0
NS2,2018-Cold,215,224,107,111,136,142,194,203,194,194,134,134,129,129,249,249,270,286,178,178,129,129,140,140,178,181,152,157,193,196,131,131
NS3,2018-Cold,215,215,107,111,142,142,194,194,194,194,134,134,123,129,249,249,270,286,172,180,129,129,140,140,178,199,152,152,176,205,119,131
NS4,2018-Cold,215,215,107,109,142,142,194,194,194,194,134,134,129,129,243,249,286,286,178,178,129,129,140,140,190,196,152,157,193,202,128,131
NS5,2018-Cold,224,233,103,107,142,142,194,194,194,198,134,134,123,129,249,249,286,286,178,178,129,129,144,144,178,184,152,157,196,196,128,137
NS6,2018-Cold,224,227,107,111,142,142,194,194,198,198,134,134,129,129,249,249,286,286,180,180,129,129,0,0,160,202,152,157,193,196,140,140
NS7,2018-Cold,215,215,107,107,142,142,194,194,194,198,134,134,129,129,249,252,286,286,172,172,0,0,140,140,190,190,152,157,193,196,128,128
NS8,2018-Cold,215,215,107,107,142,142,194,194,194,194,134,134,123,129,243,249,270,286,172,172,129,129,140,140,184,193,152,152,193,199,140,140
NS9,2018-Cold,215,215,111,111,142,142,194,194,190,194,134,134,123,129,249,249,270,286,178,178,129,129,140,140,175,190,152,152,193,196,119,137
NS10,2018-Cold,215,227,107,107,142,142,194,194,190,194,134,134,129,129,246,249,286,286,172,178,129,129,144,144,184,190,152,152,187,196,134,140
NS11,2018-Cold,215,224,107,111,142,142,194,203,190,194,134,134,123,129,249,249,286,286,172,172,129,129,140,140,178,184,152,157,196,202,128,140
NS12,2018-Cold,215,227,107,111,136,142,194,194,194,198,134,134,129,129,249,249,286,286,172,178,129,129,140,140,160,178,152,157,193,199,128,143
NS13,2018-Cold,215,215,107,111,136,142,203,203,190,194,134,134,123,129,249,249,270,286,178,178,129,129,140,140,178,184,152,157,193,199,140,140
NS14,2018-Cold,224,227,107,107,136,142,194,194,194,198,134,134,129,129,249,249,286,286,178,178,129,129,144,144,184,190,147,152,187,199,119,137
NS15,2018-Cold,215,215,107,111,136,142,194,194,194,198,134,134,129,129,249,249,286,286,172,178,129,129,140,140,187,199,152,157,193,196,140,140
NS16,2018-Cold,215,215,107,111,136,142,194,194,194,198,134,134,123,129,249,249,286,286,178,178,129,129,140,140,175,190,152,157,193,196,128,131
NS17,2018-Cold,215,215,107,107,142,142,194,194,190,194,134,134,123,123,249,249,270,270,178,178,129,129,140,140,163,184,152,157,187,199,119,131
NS18,2018-Cold,221,227,107,111,142,142,194,194,194,198,134,134,123,123,249,249,286,286,178,178,129,129,140,140,178,184,152,157,193,199,128,128
NS19,2018-Cold,224,233,107,107,142,142,194,194,194,198,134,134,123,129,249,249,286,286,172,178,129,129,140,140,172,184,152,157,193,196,128,137
